entity,cost_centre,account_code,period_month,budget_amount,currency
MI-CA,OPS-CA,6240,2024-02,848.87,USD
MI-CA,OPS-CA,6240,2024-03,868.76,USD
MI-CA,OPS-CA,6240,2024-04,889.15,USD
MI-CA,OPS-CA,6240,2024-05,883.02,USD
MI-CA,OPS-CA,6240,2024-06,855.31,USD
MI-CA,OPS-CA,6240,2024-07,807.16,USD
MI-CA,OPS-CA,6240,2024-08,758.2,USD
MI-CA,OPS-CA,6240,2024-09,745.97,USD
MI-CA,OPS-CA,6240,2024-10,704.33,USD
MI-CA,OPS-CA,6240,2024-11,733.72,USD
MI-CA,OPS-CA,6240,2024-12,773.63,USD
MI-CA,OPS-CA,6310,2024-01,46591.95,USD
MI-CA,OPS-CA,6310,2024-02,49177.93,USD
MI-CA,OPS-CA,6310,2024-03,48992.17,USD
MI-CA,OPS-CA,6310,2024-04,50621.0,USD
MI-CA,OPS-CA,6310,2024-05,50168.83,USD
MI-CA,OPS-CA,6310,2024-06,48627.17,USD
MI-CA,OPS-CA,6310,2024-07,45370.19,USD
MI-CA,OPS-CA,6310,2024-08,43694.94,USD
MI-CA,OPS-CA,6310,2024-09,41948.06,USD
MI-CA,OPS-CA,6310,2024-10,41355.01,USD
MI-CA,OPS-CA,6310,2024-11,41816.73,USD
MI-CA,OPS-CA,6310,2024-12,44540.75,USD
MI-CA,OPS-CA,6320,2024-01,10545.01,USD
MI-CA,OPS-CA,6320,2024-02,11174.77,USD
MI-CA,OPS-CA,6320,2024-03,11276.78,USD
MI-CA,OPS-CA,6320,2024-04,11672.55,USD
MI-CA,OPS-CA,6320,2024-05,11561.59,USD
MI-CA,OPS-CA,6320,2024-06,11269.84,USD
MI-CA,OPS-CA,6320,2024-07,10573.94,USD
MI-CA,OPS-CA,6320,2024-08,10124.6,USD
MI-CA,OPS-CA,6320,2024-09,9739.35,USD
MI-CA,OPS-CA,6320,2024-10,9642.98,USD
MI-CA,OPS-CA,6320,2024-11,9534.81,USD
MI-CA,OPS-CA,6320,2024-12,9829.22,USD
MI-CA,OPS-CA,6330,2024-01,14330.51,USD
MI-CA,OPS-CA,6330,2024-02,15105.17,USD
MI-CA,OPS-CA,6330,2024-03,15666.49,USD
MI-CA,OPS-CA,6330,2024-04,15506.37,USD
MI-CA,OPS-CA,6330,2024-05,15261.3,USD
MI-CA,OPS-CA,6330,2024-06,15018.78,USD
MI-CA,OPS-CA,6330,2024-07,14344.05,USD
MI-CA,OPS-CA,6330,2024-08,13739.58,USD
MI-CA,OPS-CA,6330,2024-09,12958.45,USD
MI-CA,OPS-CA,6330,2024-10,12937.7,USD
MI-CA,OPS-CA,6330,2024-11,13217.47,USD
MI-CA,OPS-CA,6330,2024-12,13646.38,USD
MI-CA,OPS-CA,6430,2024-01,6891.58,USD
MI-CA,OPS-CA,6430,2024-02,7114.4,USD
MI-CA,OPS-CA,6430,2024-03,7482.6,USD
MI-CA,OPS-CA,6430,2024-04,7486.95,USD
MI-CA,OPS-CA,6430,2024-05,7322.63,USD
MI-CA,OPS-CA,6430,2024-06,7066.5,USD
MI-CA,OPS-CA,6430,2024-07,6936.79,USD
MI-CA,OPS-CA,6430,2024-08,6469.37,USD
MI-CA,OPS-CA,6430,2024-09,6234.83,USD
MI-CA,OPS-CA,6430,2024-10,6220.2,USD
MI-CA,OPS-CA,6430,2024-11,6257.75,USD
MI-CA,OPS-CA,6430,2024-12,6387.19,USD
MI-CA,OPS-CA,6510,2024-01,4740.15,USD
MI-CA,OPS-CA,6510,2024-02,4918.53,USD
MI-CA,OPS-CA,6510,2024-03,5065.38,USD
MI-CA,OPS-CA,6510,2024-04,5192.6,USD
MI-CA,OPS-CA,6510,2024-05,5070.63,USD
MI-CA,OPS-CA,6510,2024-06,4860.88,USD
MI-CA,OPS-CA,6510,2024-07,4665.18,USD
MI-CA,OPS-CA,6510,2024-08,4387.74,USD
MI-CA,OPS-CA,6510,2024-09,4347.55,USD
MI-CA,OPS-CA,6510,2024-10,4125.16,USD
MI-CA,OPS-CA,6510,2024-11,4204.74,USD
MI-CA,OPS-CA,6510,2024-12,4459.94,USD
MI-CA,OPS-CA,6520,2024-01,5624.94,USD
MI-CA,OPS-CA,6520,2024-02,6004.32,USD
MI-CA,OPS-CA,6520,2024-03,6131.7,USD
MI-CA,OPS-CA,6520,2024-04,6192.52,USD
MI-CA,OPS-CA,6520,2024-05,6095.56,USD
MI-CA,OPS-CA,6520,2024-06,5982.93,USD
MI-CA,OPS-CA,6520,2024-07,5566.65,USD
MI-CA,OPS-CA,6520,2024-08,5270.85,USD
MI-CA,OPS-CA,6520,2024-09,5204.85,USD
MI-CA,OPS-CA,6520,2024-10,5093.85,USD
MI-CA,OPS-CA,6520,2024-11,5151.81,USD
MI-CA,OPS-CA,6520,2024-12,5466.0,USD
MI-CA,OPS-CA,6530,2024-01,3038.82,USD
MI-CA,OPS-CA,6530,2024-02,3135.38,USD
MI-CA,OPS-CA,6530,2024-03,3294.33,USD
MI-CA,OPS-CA,6530,2024-04,3282.75,USD
MI-CA,OPS-CA,6530,2024-05,3172.1,USD
MI-CA,OPS-CA,6530,2024-06,3158.82,USD
MI-CA,OPS-CA,6530,2024-07,3030.77,USD
MI-CA,OPS-CA,6530,2024-08,2803.4,USD
MI-CA,OPS-CA,6530,2024-09,2718.43,USD
MI-CA,OPS-CA,6530,2024-10,2722.37,USD
MI-CA,OPS-CA,6530,2024-11,2726.36,USD
MI-CA,OPS-CA,6530,2024-12,2876.49,USD
MI-CA,OPS-CA,6610,2024-01,56015.64,USD
MI-CA,OPS-CA,6610,2024-02,58356.12,USD
MI-CA,OPS-CA,6610,2024-03,59319.19,USD
MI-CA,OPS-CA,6610,2024-04,60974.14,USD
MI-CA,OPS-CA,6610,2024-05,59398.58,USD
MI-CA,OPS-CA,6610,2024-06,59336.84,USD
MI-CA,OPS-CA,6610,2024-07,53936.87,USD
MI-CA,OPS-CA,6610,2024-08,52480.14,USD
MI-CA,OPS-CA,6610,2024-09,51433.57,USD
MI-CA,OPS-CA,6610,2024-10,50047.79,USD
MI-CA,OPS-CA,6610,2024-11,50060.69,USD
MI-CA,OPS-CA,6610,2024-12,52353.21,USD
MI-CA,OPS-CA,6620,2024-01,73617.78,USD
MI-CA,OPS-CA,6620,2024-02,76146.36,USD
MI-CA,OPS-CA,6620,2024-03,79604.24,USD
MI-CA,OPS-CA,6620,2024-04,81072.57,USD
MI-CA,OPS-CA,6620,2024-05,81504.22,USD
MI-CA,OPS-CA,6620,2024-06,77794.31,USD
MI-CA,OPS-CA,6620,2024-07,73757.35,USD
MI-CA,OPS-CA,6620,2024-08,70299.58,USD
MI-CA,OPS-CA,6620,2024-09,67640.56,USD
MI-CA,OPS-CA,6620,2024-10,65842.54,USD
MI-CA,OPS-CA,6620,2024-11,67012.48,USD
MI-CA,OPS-CA,6620,2024-12,71336.83,USD
MI-CA,OPS-CA,6630,2024-01,8330.95,USD
MI-CA,OPS-CA,6630,2024-02,8642.89,USD
MI-CA,OPS-CA,6630,2024-03,9057.05,USD
MI-CA,OPS-CA,6630,2024-04,9201.2,USD
MI-CA,OPS-CA,6630,2024-05,9046.39,USD
MI-CA,OPS-CA,6630,2024-06,8560.14,USD
MI-CA,OPS-CA,6630,2024-07,8315.91,USD
MI-CA,OPS-CA,6630,2024-08,7787.82,USD
MI-CA,OPS-CA,6630,2024-09,7498.15,USD
MI-CA,OPS-CA,6630,2024-10,7408.2,USD
MI-CA,OPS-CA,6630,2024-11,7752.2,USD
MI-CA,OPS-CA,6630,2024-12,7994.32,USD
MI-CA,OPS-CA,6810,2024-01,6221.48,USD
MI-CA,OPS-CA,6810,2024-02,6443.49,USD
MI-CA,OPS-CA,6810,2024-03,6622.55,USD
MI-CA,OPS-CA,6810,2024-04,6818.12,USD
MI-CA,OPS-CA,6810,2024-05,6794.21,USD
MI-CA,OPS-CA,6810,2024-06,6410.56,USD
MI-CA,OPS-CA,6810,2024-07,6348.85,USD
MI-CA,OPS-CA,6810,2024-08,5790.54,USD
MI-CA,OPS-CA,6810,2024-09,5586.28,USD
MI-CA,OPS-CA,6810,2024-10,5518.54,USD
MI-CA,OPS-CA,6810,2024-11,5624.55,USD
MI-CA,OPS-CA,6810,2024-12,5877.31,USD
MI-CA,OPS-CA,6830,2024-01,2117.68,USD
MI-CA,OPS-CA,6830,2024-02,2230.9,USD
MI-CA,OPS-CA,6830,2024-03,2315.81,USD
MI-CA,OPS-CA,6830,2024-04,2344.49,USD
MI-CA,OPS-CA,6830,2024-05,2313.66,USD
MI-CA,OPS-CA,6830,2024-06,2194.12,USD
MI-CA,OPS-CA,6830,2024-07,2101.52,USD
MI-CA,OPS-CA,6830,2024-08,2017.79,USD
MI-CA,OPS-CA,6830,2024-09,1981.76,USD
MI-CA,OPS-CA,6830,2024-10,1901.96,USD
MI-CA,OPS-CA,6830,2024-11,1907.25,USD
MI-CA,OPS-CA,6830,2024-12,1998.84,USD
MI-CA,SGA-CA,6110,2024-01,105985.86,USD
MI-CA,SGA-CA,6110,2024-02,109643.4,USD
MI-CA,SGA-CA,6110,2024-03,112284.14,USD
MI-CA,SGA-CA,6110,2024-04,114548.55,USD
MI-CA,SGA-CA,6110,2024-05,115286.42,USD
MI-CA,SGA-CA,6110,2024-06,110430.15,USD
MI-CA,SGA-CA,6110,2024-07,103479.28,USD
MI-CA,SGA-CA,6110,2024-08,100027.86,USD
MI-CA,SGA-CA,6110,2024-09,95376.39,USD
MI-CA,SGA-CA,6110,2024-10,94978.81,USD
MI-CA,SGA-CA,6110,2024-11,96392.79,USD
MI-CA,SGA-CA,6110,2024-12,97569.66,USD
MI-CA,SGA-CA,6120,2024-01,20655.73,USD
MI-CA,SGA-CA,6120,2024-02,22705.93,USD
MI-CA,SGA-CA,6120,2024-03,22944.16,USD
MI-CA,SGA-CA,6120,2024-04,23127.55,USD
MI-CA,SGA-CA,6120,2024-05,22632.03,USD
MI-CA,SGA-CA,6120,2024-06,21891.6,USD
MI-CA,SGA-CA,6120,2024-07,21487.83,USD
MI-CA,SGA-CA,6120,2024-08,20153.67,USD
MI-CA,SGA-CA,6120,2024-09,19477.1,USD
MI-CA,SGA-CA,6120,2024-10,18912.55,USD
MI-CA,SGA-CA,6120,2024-11,19337.67,USD
MI-CA,SGA-CA,6120,2024-12,19611.42,USD
MI-CA,SGA-CA,6130,2024-01,7054.61,USD
MI-CA,SGA-CA,6130,2024-02,7312.76,USD
MI-CA,SGA-CA,6130,2024-03,7492.64,USD
MI-CA,SGA-CA,6130,2024-04,7625.03,USD
MI-CA,SGA-CA,6130,2024-05,7661.76,USD
MI-CA,SGA-CA,6130,2024-06,7459.7,USD
MI-CA,SGA-CA,6130,2024-07,6917.94,USD
MI-CA,SGA-CA,6130,2024-08,6529.67,USD
MI-CA,SGA-CA,6130,2024-09,6382.94,USD
MI-CA,SGA-CA,6130,2024-10,6347.33,USD
MI-CA,SGA-CA,6130,2024-11,6290.87,USD
MI-CA,SGA-CA,6130,2024-12,6466.2,USD
MI-CA,SGA-CA,6210,2024-01,5031.58,USD
MI-CA,SGA-CA,6210,2024-02,5271.66,USD
MI-CA,SGA-CA,6210,2024-03,5422.4,USD
MI-CA,SGA-CA,6210,2024-04,5329.51,USD
MI-CA,SGA-CA,6210,2024-05,5427.61,USD
MI-CA,SGA-CA,6210,2024-06,5310.95,USD
MI-CA,SGA-CA,6210,2024-07,4957.04,USD
MI-CA,SGA-CA,6210,2024-08,4710.37,USD
MI-CA,SGA-CA,6210,2024-09,4614.72,USD
MI-CA,SGA-CA,6210,2024-10,4540.49,USD
MI-CA,SGA-CA,6210,2024-11,4511.2,USD
MI-CA,SGA-CA,6210,2024-12,4802.92,USD
MI-CA,SGA-CA,6220,2024-01,1888.17,USD
MI-CA,SGA-CA,6220,2024-02,1989.74,USD
MI-CA,SGA-CA,6220,2024-03,2052.82,USD
MI-CA,SGA-CA,6220,2024-04,2088.98,USD
MI-CA,SGA-CA,6220,2024-05,2069.49,USD
MI-CA,SGA-CA,6220,2024-06,1992.41,USD
MI-CA,SGA-CA,6220,2024-07,1885.88,USD
MI-CA,SGA-CA,6220,2024-08,1786.51,USD
MI-CA,SGA-CA,6220,2024-09,1711.72,USD
MI-CA,SGA-CA,6220,2024-10,1730.04,USD
MI-CA,SGA-CA,6220,2024-11,1753.48,USD
MI-CA,SGA-CA,6220,2024-12,1804.19,USD
MI-CA,SGA-CA,6230,2024-01,7254.52,USD
MI-CA,SGA-CA,6230,2024-02,7739.91,USD
MI-CA,SGA-CA,6230,2024-03,7834.05,USD
MI-CA,SGA-CA,6230,2024-04,8080.71,USD
MI-CA,SGA-CA,6230,2024-05,7924.53,USD
MI-CA,SGA-CA,6230,2024-06,7727.43,USD
MI-CA,SGA-CA,6230,2024-07,7229.47,USD
MI-CA,SGA-CA,6230,2024-08,6856.23,USD
MI-CA,SGA-CA,6230,2024-09,6736.01,USD
MI-CA,SGA-CA,6230,2024-10,6638.41,USD
MI-CA,SGA-CA,6230,2024-11,6672.39,USD
MI-CA,SGA-CA,6230,2024-12,6781.54,USD
MI-CA,SGA-CA,6240,2024-01,1300.08,USD
MI-CA,SGA-CA,6240,2024-02,1400.69,USD
MI-CA,SGA-CA,6240,2024-03,1415.9,USD
MI-CA,SGA-CA,6240,2024-04,1424.18,USD
MI-CA,SGA-CA,6240,2024-05,1387.38,USD
MI-CA,SGA-CA,6240,2024-06,1342.46,USD
MI-CA,SGA-CA,6240,2024-07,1336.14,USD
MI-CA,SGA-CA,6240,2024-08,1254.82,USD
MI-CA,SGA-CA,6240,2024-09,1192.42,USD
MI-CA,SGA-CA,6240,2024-10,1166.46,USD
MI-CA,SGA-CA,6240,2024-11,1180.42,USD
MI-CA,SGA-CA,6240,2024-12,1239.71,USD
MI-CA,SGA-CA,6310,2024-01,20573.39,USD
MI-CA,SGA-CA,6310,2024-02,21333.93,USD
MI-CA,SGA-CA,6310,2024-03,21821.47,USD
MI-CA,SGA-CA,6310,2024-04,22342.43,USD
MI-CA,SGA-CA,6310,2024-05,22329.84,USD
MI-CA,SGA-CA,6310,2024-06,21415.91,USD
MI-CA,SGA-CA,6310,2024-07,20366.02,USD
MI-CA,SGA-CA,6310,2024-08,18725.88,USD
MI-CA,SGA-CA,6310,2024-09,18899.12,USD
MI-CA,SGA-CA,6310,2024-10,18287.18,USD
MI-CA,SGA-CA,6310,2024-11,18580.25,USD
MI-CA,SGA-CA,6310,2024-12,19257.06,USD
MI-CA,SGA-CA,6320,2024-01,3695.19,USD
MI-CA,SGA-CA,6320,2024-02,3913.09,USD
MI-CA,SGA-CA,6320,2024-03,4103.91,USD
MI-CA,SGA-CA,6320,2024-04,4117.47,USD
MI-CA,SGA-CA,6320,2024-05,4001.82,USD
MI-CA,SGA-CA,6320,2024-06,3926.27,USD
MI-CA,SGA-CA,6320,2024-07,3684.79,USD
MI-CA,SGA-CA,6320,2024-08,3576.88,USD
MI-CA,SGA-CA,6320,2024-09,3316.94,USD
MI-CA,SGA-CA,6320,2024-10,3336.75,USD
MI-CA,SGA-CA,6320,2024-11,3446.37,USD
MI-CA,SGA-CA,6320,2024-12,3422.87,USD
MI-CA,SGA-CA,6330,2024-01,1935.85,USD
MI-CA,SGA-CA,6330,2024-02,1980.1,USD
MI-CA,SGA-CA,6330,2024-03,2036.33,USD
MI-CA,SGA-CA,6330,2024-04,2124.6,USD
MI-CA,SGA-CA,6330,2024-05,2039.33,USD
MI-CA,SGA-CA,6330,2024-06,2006.26,USD
MI-CA,SGA-CA,6330,2024-07,1914.04,USD
MI-CA,SGA-CA,6330,2024-08,1796.88,USD
MI-CA,SGA-CA,6330,2024-09,1691.32,USD
MI-CA,SGA-CA,6330,2024-10,1706.99,USD
MI-CA,SGA-CA,6330,2024-11,1718.07,USD
MI-CA,SGA-CA,6330,2024-12,1786.12,USD
MI-CA,SGA-CA,6410,2024-01,9386.5,USD
MI-CA,SGA-CA,6410,2024-02,9990.4,USD
MI-CA,SGA-CA,6410,2024-03,10298.59,USD
MI-CA,SGA-CA,6410,2024-04,10498.55,USD
MI-CA,SGA-CA,6410,2024-05,10204.32,USD
MI-CA,SGA-CA,6410,2024-06,9917.94,USD
MI-CA,SGA-CA,6410,2024-07,9455.71,USD
MI-CA,SGA-CA,6410,2024-08,8951.68,USD
MI-CA,SGA-CA,6410,2024-09,8646.63,USD
MI-CA,SGA-CA,6410,2024-10,8603.37,USD
MI-CA,SGA-CA,6410,2024-11,8678.5,USD
MI-CA,SGA-CA,6410,2024-12,8946.93,USD
MI-CA,SGA-CA,6420,2024-01,10578.94,USD
MI-CA,SGA-CA,6420,2024-02,11592.65,USD
MI-CA,SGA-CA,6420,2024-03,11720.85,USD
MI-CA,SGA-CA,6420,2024-04,11755.46,USD
MI-CA,SGA-CA,6420,2024-05,11495.03,USD
MI-CA,SGA-CA,6420,2024-06,11530.35,USD
MI-CA,SGA-CA,6420,2024-07,10809.12,USD
MI-CA,SGA-CA,6420,2024-08,10312.83,USD
MI-CA,SGA-CA,6420,2024-09,9900.98,USD
MI-CA,SGA-CA,6420,2024-10,9527.36,USD
MI-CA,SGA-CA,6420,2024-11,9764.53,USD
MI-CA,SGA-CA,6420,2024-12,9994.57,USD
MI-CA,SGA-CA,6430,2024-01,13124.68,USD
MI-CA,SGA-CA,6430,2024-02,13710.96,USD
MI-CA,SGA-CA,6430,2024-03,14357.67,USD
MI-CA,SGA-CA,6430,2024-04,14172.08,USD
MI-CA,SGA-CA,6430,2024-05,13957.95,USD
MI-CA,SGA-CA,6430,2024-06,13902.71,USD
MI-CA,SGA-CA,6430,2024-07,12849.32,USD
MI-CA,SGA-CA,6430,2024-08,12517.72,USD
MI-CA,SGA-CA,6430,2024-09,11793.84,USD
MI-CA,SGA-CA,6430,2024-10,11679.3,USD
MI-CA,SGA-CA,6430,2024-11,12097.23,USD
MI-CA,SGA-CA,6430,2024-12,12502.96,USD
MI-CA,SGA-CA,6510,2024-01,9817.9,USD
MI-CA,SGA-CA,6510,2024-02,10397.77,USD
MI-CA,SGA-CA,6510,2024-03,10591.94,USD
MI-CA,SGA-CA,6510,2024-04,10863.41,USD
MI-CA,SGA-CA,6510,2024-05,10527.29,USD
MI-CA,SGA-CA,6510,2024-06,10292.08,USD
MI-CA,SGA-CA,6510,2024-07,9686.01,USD
MI-CA,SGA-CA,6510,2024-08,9213.17,USD
MI-CA,SGA-CA,6510,2024-09,9198.77,USD
MI-CA,SGA-CA,6510,2024-10,8878.82,USD
MI-CA,SGA-CA,6510,2024-11,8935.42,USD
MI-CA,SGA-CA,6510,2024-12,9222.84,USD
MI-CA,SGA-CA,6520,2024-01,3644.36,USD
MI-CA,SGA-CA,6520,2024-02,3839.19,USD
MI-CA,SGA-CA,6520,2024-03,3939.82,USD
MI-CA,SGA-CA,6520,2024-04,4083.38,USD
MI-CA,SGA-CA,6520,2024-05,4094.11,USD
MI-CA,SGA-CA,6520,2024-06,3912.79,USD
MI-CA,SGA-CA,6520,2024-07,3641.92,USD
MI-CA,SGA-CA,6520,2024-08,3548.67,USD
MI-CA,SGA-CA,6520,2024-09,3371.96,USD
MI-CA,SGA-CA,6520,2024-10,3326.78,USD
MI-CA,SGA-CA,6520,2024-11,3382.87,USD
MI-CA,SGA-CA,6520,2024-12,3525.67,USD
MI-CA,SGA-CA,6530,2024-01,5951.6,USD
MI-CA,SGA-CA,6530,2024-02,6233.34,USD
MI-CA,SGA-CA,6530,2024-03,6508.86,USD
MI-CA,SGA-CA,6530,2024-04,6630.94,USD
MI-CA,SGA-CA,6530,2024-05,6462.9,USD
MI-CA,SGA-CA,6530,2024-06,6249.35,USD
MI-CA,SGA-CA,6530,2024-07,5967.05,USD
MI-CA,SGA-CA,6530,2024-08,5731.58,USD
MI-CA,SGA-CA,6530,2024-09,5532.1,USD
MI-CA,SGA-CA,6530,2024-10,5364.94,USD
MI-CA,SGA-CA,6530,2024-11,5505.98,USD
MI-CA,SGA-CA,6530,2024-12,5796.01,USD
MI-CA,SGA-CA,6810,2024-01,11019.57,USD
MI-CA,SGA-CA,6810,2024-02,11749.13,USD
MI-CA,SGA-CA,6810,2024-03,11942.84,USD
MI-CA,SGA-CA,6810,2024-04,12300.05,USD
MI-CA,SGA-CA,6810,2024-05,12085.61,USD
MI-CA,SGA-CA,6810,2024-06,11595.08,USD
MI-CA,SGA-CA,6810,2024-07,11008.2,USD
MI-CA,SGA-CA,6810,2024-08,10413.61,USD
MI-CA,SGA-CA,6810,2024-09,10410.54,USD
MI-CA,SGA-CA,6810,2024-10,9984.28,USD
MI-CA,SGA-CA,6810,2024-11,10209.8,USD
MI-CA,SGA-CA,6810,2024-12,10319.91,USD
MI-CA,SGA-CA,6820,2024-01,1966.02,USD
MI-CA,SGA-CA,6820,2024-02,2011.51,USD
MI-CA,SGA-CA,6820,2024-03,2118.85,USD
MI-CA,SGA-CA,6820,2024-04,2172.28,USD
MI-CA,SGA-CA,6820,2024-05,2123.56,USD
MI-CA,SGA-CA,6820,2024-06,2023.88,USD
MI-CA,SGA-CA,6820,2024-07,2012.63,USD
MI-CA,SGA-CA,6820,2024-08,1854.31,USD
MI-CA,SGA-CA,6820,2024-09,1792.19,USD
MI-CA,SGA-CA,6820,2024-10,1726.76,USD
MI-CA,SGA-CA,6820,2024-11,1784.16,USD
MI-CA,SGA-CA,6820,2024-12,1850.94,USD
MI-CA,SGA-CA,6830,2024-01,3019.26,USD
MI-CA,SGA-CA,6830,2024-02,3193.2,USD
MI-CA,SGA-CA,6830,2024-03,3201.41,USD
MI-CA,SGA-CA,6830,2024-04,3358.53,USD
MI-CA,SGA-CA,6830,2024-05,3334.79,USD
MI-CA,SGA-CA,6830,2024-06,3214.29,USD
MI-CA,SGA-CA,6830,2024-07,3049.05,USD
MI-CA,SGA-CA,6830,2024-08,2925.34,USD
MI-CA,SGA-CA,6830,2024-09,2794.81,USD
MI-CA,SGA-CA,6830,2024-10,2761.45,USD
MI-CA,SGA-CA,6830,2024-11,2745.87,USD
MI-CA,SGA-CA,6830,2024-12,2857.01,USD
MI-NL,ENG-EU,6110,2024-01,192716.26,USD
MI-NL,ENG-EU,6110,2024-02,202644.59,USD
MI-NL,ENG-EU,6110,2024-03,211235.57,USD
MI-NL,ENG-EU,6110,2024-04,214587.59,USD
MI-NL,ENG-EU,6110,2024-05,204130.57,USD
MI-NL,ENG-EU,6110,2024-06,206775.36,USD
MI-NL,ENG-EU,6110,2024-07,191626.61,USD
MI-NL,ENG-EU,6110,2024-08,184047.71,USD
MI-NL,ENG-EU,6110,2024-09,178995.05,USD
MI-NL,ENG-EU,6110,2024-10,176126.87,USD
MI-NL,ENG-EU,6110,2024-11,180166.46,USD
MI-NL,ENG-EU,6110,2024-12,182960.07,USD
MI-NL,ENG-EU,6120,2024-01,40670.48,USD
MI-NL,ENG-EU,6120,2024-02,43421.82,USD
MI-NL,ENG-EU,6120,2024-03,45998.9,USD
MI-NL,ENG-EU,6120,2024-04,46373.72,USD
MI-NL,ENG-EU,6120,2024-05,46073.72,USD
MI-NL,ENG-EU,6120,2024-06,43321.95,USD
MI-NL,ENG-EU,6120,2024-07,41813.83,USD
MI-NL,ENG-EU,6120,2024-08,40389.34,USD
MI-NL,ENG-EU,6120,2024-09,37443.02,USD
MI-NL,ENG-EU,6120,2024-10,37377.06,USD
MI-NL,ENG-EU,6120,2024-11,38396.46,USD
MI-NL,ENG-EU,6120,2024-12,39276.0,USD
MI-NL,ENG-EU,6130,2024-01,45635.29,USD
