txn_id,posting_date,accrual_date,entity,cost_centre,account_code,amount,currency,vendor_id,doc_ref,approval_ref,memo
T002360,2023-01-05,2023-01-02,MI-US,SGA-US,6210,349.1,USD,V1002,INV-2023-002360,,"airfare Calgary, economy"
T002398,2023-01-05,2023-01-02,MI-US,SGA-US,6510,2340.21,USD,V1007,INV-2023-002398,,seat licences - 2023-01
T005969,2023-01-05,2023-01-05,MI-CA,SGA-CA,6330,1219.39,CAD,V1035,INV-2023-005969,,repair - packaging line
T005974,2023-01-05,2023-01-05,MI-CA,SGA-CA,6420,3325.83,CAD,V1031,INV-2023-005974,,legal advice - commercial
T007269,2023-01-05,2023-01-02,MI-NL,OPS-EU,6430,3789.63,EUR,V1029,INV-2023-007269,,systems advisory
T008547,2023-01-05,2023-01-05,MI-NL,ENG-EU,6520,6927.03,EUR,V1028,INV-2023-008547,,test equipment
T008550,2023-01-05,2023-01-05,MI-NL,ENG-EU,6530,2789.8,EUR,V1007,INV-2023-008550,,compute and storage
T009636,2023-01-05,2023-01-03,MI-NL,SGA-EU,6220,403.36,EUR,V1025,INV-2023-009636,,"hotel - 4 nights, Utrecht"
T009667,2023-01-05,2023-01-05,MI-NL,SGA-EU,6420,343.82,EUR,V1011,INV-2023-009667,,legal advice - commercial
T009679,2023-01-05,2023-01-04,MI-NL,SGA-EU,6820,2509.65,EUR,V1015,INV-2023-009679,,bank charges - 2023-01
T510911,2023-01-05,2023-01-01,MI-US,MKT-US,6720,14022.85,USD,V1014,INV-2023-707889,,trade show stand
T000004,2023-01-06,2023-01-04,MI-US,OPS-NA,6210,4976.53,USD,V1002,INV-2023-000004,AP-2023-7883,"airfare Toronto return, business"
T000017,2023-01-06,2023-01-03,MI-US,OPS-NA,6240,99.81,USD,V1036,INV-2023-000017,,ground transport New York
T000028,2023-01-06,2023-01-03,MI-US,OPS-NA,6320,3430.1,USD,V1033,INV-2023-000028,,utilities - 2023-01
T001247,2023-01-06,2023-01-05,MI-US,ENG-US,6230,93.86,USD,V1037,INV-2023-001247,,team meals Zurich
T001270,2023-01-06,2023-01-04,MI-US,ENG-US,6320,2300.02,USD,V1009,INV-2023-001270,,utilities - 2023-01
T002404,2023-01-06,2023-01-06,MI-US,SGA-US,6810,14454.73,USD,V1016,INV-2023-002404,,insurance premium instalment
T002406,2023-01-06,2023-01-06,MI-US,SGA-US,6820,1096.36,USD,V1019,INV-2023-002406,,bank charges - 2023-01
T003630,2023-01-06,2023-01-03,MI-US,MKT-US,6230,143.54,USD,V1002,INV-2023-003630,,team meals Eindhoven
T003638,2023-01-06,2023-01-05,MI-US,MKT-US,6130,2071.56,USD,V1010,INV-2023-003638,,temporary operations cover
T003652,2023-01-06,2023-01-05,MI-US,MKT-US,6720,8819.36,USD,V1013,INV-2023-003652,,exhibition fees
T004702,2023-01-06,2023-01-03,MI-CA,OPS-CA,6230,281.7,CAD,V1037,INV-2023-004702,,team meals London
T005946,2023-01-06,2023-01-04,MI-CA,SGA-CA,6220,882.43,CAD,V1002,INV-2023-005946,,"hotel - 4 nights, New York"
T005951,2023-01-06,2023-01-06,MI-CA,SGA-CA,6230,349.75,CAD,V1037,INV-2023-005951,,team meals Amsterdam
T007234,2023-01-06,2023-01-03,MI-NL,OPS-EU,6210,398.79,EUR,V1036,INV-2023-007234,,"airfare Winnipeg, economy"
T007236,2023-01-06,2023-01-04,MI-NL,OPS-EU,6220,780.94,EUR,V1025,INV-2023-007236,,"hotel - 4 nights, Amsterdam"
T007272,2023-01-06,2023-01-04,MI-NL,OPS-EU,6530,3682.14,EUR,V1007,INV-2023-007272,,compute and storage
T007287,2023-01-06,2023-01-04,MI-NL,OPS-EU,6630,772.9,EUR,V1001,INV-2023-007287,,air freight - urgent
T008515,2023-01-06,2023-01-06,MI-NL,ENG-EU,6210,4699.0,EUR,V1002,INV-2023-008515,AP-2023-4764,"airfare San Francisco return, business"
T008529,2023-01-06,2023-01-06,MI-NL,ENG-EU,6240,201.88,EUR,V1036,INV-2023-008529,,ground transport Eindhoven
T008530,2023-01-06,2023-01-05,MI-NL,ENG-EU,6240,43.85,EUR,V1036,INV-2023-008530,,ground transport Hartford
T008532,2023-01-06,2023-01-03,MI-NL,ENG-EU,6110,137141.3,EUR,,INV-2023-008532,,semi-monthly payroll run
T001264,2023-01-07,2023-01-06,MI-US,ENG-US,6130,11809.94,USD,V1012,INV-2023-001264,,temporary operations cover
T001285,2023-01-07,2023-01-05,MI-US,ENG-US,6530,12876.54,USD,V1032,INV-2023-001285,,cloud hosting - 2023-01
T002384,2023-01-07,2023-01-06,MI-US,SGA-US,6130,2142.61,USD,V1012,INV-2023-002384,,contract engineer - 2023-01
T003616,2023-01-07,2023-01-05,MI-US,MKT-US,6210,785.23,USD,V1002,INV-2023-003616,,"airfare Chicago, economy"
T003643,2023-01-07,2023-01-05,MI-US,MKT-US,6510,2789.98,USD,V1027,INV-2023-003643,,seat licences - 2023-01
T004714,2023-01-07,2023-01-05,MI-CA,OPS-CA,6130,12275.31,CAD,V1012,INV-2023-004714,,contract engineer - 2023-01
T007242,2023-01-07,2023-01-07,MI-NL,OPS-EU,6230,937.61,EUR,V1037,INV-2023-007242,,client entertainment San Francisco
T007247,2023-01-07,2023-01-05,MI-NL,OPS-EU,6240,33.53,EUR,V1036,INV-2023-007247,,ground transport London
T007248,2023-01-07,2023-01-07,MI-NL,OPS-EU,6240,252.76,EUR,V1036,INV-2023-007248,,ground transport Winnipeg
T007254,2023-01-07,2023-01-04,MI-NL,OPS-EU,6120,28780.16,EUR,,INV-2023-007254,,employer contributions - period 2023-01
T007259,2023-01-07,2023-01-07,MI-NL,OPS-EU,6310,66282.82,EUR,V1003,INV-2023-007259,,monthly rent
T007271,2023-01-07,2023-01-06,MI-NL,OPS-EU,6520,7143.4,EUR,V1028,INV-2023-007271,,laptops and peripherals
T008551,2023-01-07,2023-01-05,MI-NL,ENG-EU,6530,13230.38,EUR,V1007,INV-2023-008551,,cloud hosting - 2023-01
T009632,2023-01-07,2023-01-04,MI-NL,SGA-EU,6210,2826.36,EUR,V1036,INV-2023-009632,AP-2023-6311,"airfare Eindhoven return, business"
T009646,2023-01-07,2023-01-06,MI-NL,SGA-EU,6230,212.15,EUR,V1037,INV-2023-009646,,team meals Rotterdam
T000054,2023-01-08,2023-01-05,MI-US,OPS-NA,6830,1729.3,USD,V1037,INV-2023-000054,,sundry expenses - 2023-01
T001236,2023-01-08,2023-01-07,MI-US,ENG-US,6210,613.28,USD,V1036,INV-2023-001236,,"airfare Hartford, economy"
T001239,2023-01-08,2023-01-06,MI-US,ENG-US,6210,710.7,USD,V1002,INV-2023-001239,,"airfare Milwaukee, economy"
T001256,2023-01-08,2023-01-08,MI-US,ENG-US,6240,170.47,USD,V1036,INV-2023-001256,,ground transport San Francisco
T001262,2023-01-08,2023-01-06,MI-US,ENG-US,6130,4961.92,USD,V1010,INV-2023-001262,,temporary operations cover
T001272,2023-01-08,2023-01-08,MI-US,ENG-US,6330,913.91,USD,V1020,INV-2023-001272,,planned maintenance
T001280,2023-01-08,2023-01-07,MI-US,ENG-US,6520,5441.69,USD,V1203,INV-2023-001280,,laptops and peripherals
T002399,2023-01-08,2023-01-08,MI-US,SGA-US,6510,2938.57,USD,V1007,INV-2023-002399,,subscription renewal
T003621,2023-01-08,2023-01-06,MI-US,MKT-US,6230,2200.51,USD,V1037,INV-2023-003621,AP-2023-3296,client entertainment Amsterdam
T003642,2023-01-08,2023-01-07,MI-US,MKT-US,6510,4192.5,USD,V1007,INV-2023-003642,,subscription renewal
T004720,2023-01-08,2023-01-06,MI-CA,OPS-CA,6330,3223.01,CAD,V1035,INV-2023-004720,,repair - packaging line
T004728,2023-01-08,2023-01-08,MI-CA,OPS-CA,6520,4935.91,CAD,V1004,INV-2023-004728,,laptops and peripherals
T007233,2023-01-08,2023-01-06,MI-NL,OPS-EU,6210,450.92,EUR,V1036,INV-2023-007233,,"airfare Leuven, economy"
T007279,2023-01-08,2023-01-05,MI-NL,OPS-EU,6620,20773.81,EUR,V1177,INV-2023-007279,,customer delivery
T009645,2023-01-08,2023-01-07,MI-NL,SGA-EU,6230,523.89,EUR,V1002,INV-2023-009645,,client entertainment New York
T009651,2023-01-08,2023-01-05,MI-NL,SGA-EU,6110,64916.39,EUR,,INV-2023-009651,,payroll run - period 2023-01
T009658,2023-01-08,2023-01-05,MI-NL,SGA-EU,6320,2677.49,EUR,V1033,INV-2023-009658,,utilities - 2023-01
T000030,2023-01-09,2023-01-08,MI-US,OPS-NA,6330,7030.21,USD,V1035,INV-2023-000030,,planned maintenance
T001238,2023-01-09,2023-01-07,MI-US,ENG-US,6210,909.92,USD,V1036,INV-2023-001238,,"airfare San Francisco, economy"
T001252,2023-01-09,2023-01-09,MI-US,ENG-US,6240,313.28,USD,V1036,INV-2023-001252,,ground transport San Francisco
T001268,2023-01-09,2023-01-08,MI-US,ENG-US,6310,19452.57,USD,V1017,INV-2023-001268,,monthly rent
T001269,2023-01-09,2023-01-06,MI-US,ENG-US,6320,1656.11,USD,V1009,INV-2023-001269,,utilities - 2023-01
T001286,2023-01-09,2023-01-06,MI-US,ENG-US,6530,7216.3,USD,V1007,INV-2023-001286,,cloud hosting - 2023-01
T001287,2023-01-09,2023-01-08,MI-US,ENG-US,6830,2212.74,USD,V1034,INV-2023-001287,,office supplies
T003641,2023-01-09,2023-01-07,MI-US,MKT-US,6130,2691.54,USD,V1006,INV-2023-003641,,contract engineer - 2023-01
T003644,2023-01-09,2023-01-07,MI-US,MKT-US,6510,2830.45,USD,V1027,INV-2023-003644,,seat licences - 2023-01
T004696,2023-01-09,2023-01-09,MI-CA,OPS-CA,6210,862.86,CAD,V1036,INV-2023-004696,,"airfare Milwaukee, economy"
T004711,2023-01-09,2023-01-09,MI-CA,OPS-CA,6120,13295.51,CAD,,INV-2023-004711,,employer contributions - period 2023-01
T005964,2023-01-09,2023-01-06,MI-CA,SGA-CA,6130,832.4,CAD,V1006,INV-2023-005964,,temporary operations cover
T005975,2023-01-09,2023-01-08,MI-CA,SGA-CA,6420,1974.85,CAD,V1031,INV-2023-005975,,legal advice - commercial
T007243,2023-01-09,2023-01-06,MI-NL,OPS-EU,6230,215.17,EUR,V1037,INV-2023-007243,,team meals Hartford
T008534,2023-01-09,2023-01-06,MI-NL,ENG-EU,6120,7903.09,EUR,,INV-2023-008534,,employer contributions - period 2023-01
T009672,2023-01-09,2023-01-09,MI-NL,SGA-EU,6510,841.7,EUR,V1027,INV-2023-009672,,seat licences - 2023-01
T000006,2023-01-10,2023-01-08,MI-US,OPS-NA,6220,739.64,USD,V1025,INV-2023-000006,,"hotel - 5 nights, Leuven"
T001237,2023-01-10,2023-01-07,MI-US,ENG-US,6210,728.1,USD,V1036,INV-2023-001237,,"airfare Toronto, economy"
T002388,2023-01-10,2023-01-08,MI-US,SGA-US,6320,3507.33,USD,V1009,INV-2023-002388,,utilities - 2023-01
T004733,2023-01-10,2023-01-08,MI-CA,OPS-CA,6610,45510.57,CAD,V1018,INV-2023-004733,,customs and duty
T004740,2023-01-10,2023-01-10,MI-CA,OPS-CA,6620,3473.14,CAD,V1023,INV-2023-004740,,outbound freight - 2023-01
T005958,2023-01-10,2023-01-08,MI-CA,SGA-CA,6110,53695.97,CAD,,INV-2023-005958,,payroll run - period 2023-01
T007238,2023-01-10,2023-01-10,MI-NL,OPS-EU,6220,233.01,EUR,V1002,INV-2023-007238,,"hotel - 1 nights, Amsterdam"
T007260,2023-01-10,2023-01-08,MI-NL,OPS-EU,6320,3697.1,EUR,V1009,INV-2023-007260,,utilities - 2023-01
T007286,2023-01-10,2023-01-09,MI-NL,OPS-EU,6630,5584.55,EUR,V1001,INV-2023-007286,,air freight - urgent
T000007,2023-01-11,2023-01-09,MI-US,OPS-NA,6220,879.38,USD,V1002,INV-2023-000007,,"hotel - 5 nights, Hartford"
T000026,2023-01-11,2023-01-10,MI-US,OPS-NA,6310,61996.79,USD,V1017,INV-2023-000026,,monthly rent
T002396,2023-01-11,2023-01-10,MI-US,SGA-US,6430,3812.82,USD,V1029,INV-2023-002396,,consulting - 2023-01
T002397,2023-01-11,2023-01-10,MI-US,SGA-US,6430,5221.08,USD,V1029,INV-2023-002397,,systems advisory
T003614,2023-01-11,2023-01-08,MI-US,MKT-US,6210,318.19,USD,V1002,INV-2023-003614,,"airfare New York, economy"
T003617,2023-01-11,2023-01-11,MI-US,MKT-US,6220,196.8,USD,V1025,INV-2023-003617,,"hotel - 1 nights, Amsterdam"
T005977,2023-01-11,2023-01-10,MI-CA,SGA-CA,6420,6077.66,CAD,V1031,INV-2023-005977,,legal advice - commercial
T007231,2023-01-11,2023-01-08,MI-NL,OPS-EU,6210,608.95,EUR,V1036,INV-2023-007231,,"airfare Amsterdam, economy"
T008520,2023-01-11,2023-01-08,MI-NL,ENG-EU,6220,275.73,EUR,V1025,INV-2023-008520,,"hotel - 2 nights, Cleveland"
T008524,2023-01-11,2023-01-08,MI-NL,ENG-EU,6230,203.22,EUR,V1037,INV-2023-008524,,team meals Hartford
T008537,2023-01-11,2023-01-11,MI-NL,ENG-EU,6130,8252.56,EUR,V1006,INV-2023-008537,,contract engineer - 2023-01
T009631,2023-01-11,2023-01-09,MI-NL,SGA-EU,6210,573.32,EUR,V1002,INV-2023-009631,,"airfare San Francisco, economy"
T009655,2023-01-11,2023-01-08,MI-NL,SGA-EU,6130,4601.35,EUR,V1012,INV-2023-009655,,contract engineer - 2023-01
T000011,2023-01-12,2023-01-09,MI-US,OPS-NA,6230,95.99,USD,V1002,INV-2023-000011,,team meals Zurich
T000013,2023-01-12,2023-01-11,MI-US,OPS-NA,6240,134.46,USD,V1036,INV-2023-000013,,ground transport Winnipeg
T000037,2023-01-12,2023-01-12,MI-US,OPS-NA,6430,4909.51,USD,V1251,INV-2023-000037,,systems advisory
T000045,2023-01-12,2023-01-09,MI-US,OPS-NA,6620,8398.66,USD,V1023,INV-2023-000045,,outbound freight - 2023-01
T001274,2023-01-12,2023-01-12,MI-US,ENG-US,6430,2392.85,USD,V1203,INV-2023-001274,,consulting - 2023-01
T001283,2023-01-12,2023-01-12,MI-US,ENG-US,6530,3027.18,USD,V1007,INV-2023-001283,,compute and storage
T002369,2023-01-12,2023-01-11,MI-US,SGA-US,6230,339.94,USD,V1002,INV-2023-002369,,team meals Hartford
T003622,2023-01-12,2023-01-09,MI-US,MKT-US,6230,1050.94,USD,V1002,INV-2023-003622,AP-2023-6672,client entertainment Eindhoven
T003655,2023-01-12,2023-01-10,MI-US,MKT-US,6720,9397.84,USD,V1013,INV-2023-003655,,trade show stand
T003656,2023-01-12,2023-01-12,MI-US,MKT-US,6830,2459.71,USD,V1037,INV-2023-003656,,sundry expenses - 2023-01
T005944,2023-01-12,2023-01-11,MI-CA,SGA-CA,6210,459.05,CAD,V1036,INV-2023-005944,,"airfare London, economy"
T005954,2023-01-12,2023-01-11,MI-CA,SGA-CA,6240,455.59,CAD,V1036,INV-2023-005954,,ground transport New York
T005971,2023-01-12,2023-01-11,MI-CA,SGA-CA,6410,4387.92,CAD,V1005,INV-2023-005971,,audit fees - interim
T005973,2023-01-12,2023-01-12,MI-CA,SGA-CA,6410,4017.47,CAD,V1005,INV-2023-005973,,audit fees - interim
T005985,2023-01-12,2023-01-10,MI-CA,SGA-CA,6530,8553.29,CAD,V1032,INV-2023-005985,,cloud hosting - 2023-01
T007245,2023-01-12,2023-01-10,MI-NL,OPS-EU,6240,72.36,EUR,V1008,INV-2023-007245,,ground transport Eindhoven
T007267,2023-01-12,2023-01-09,MI-NL,OPS-EU,6430,3690.41,EUR,V1251,INV-2023-007267,,consulting - 2023-01
T007285,2023-01-12,2023-01-10,MI-NL,OPS-EU,6630,815.79,EUR,V1021,INV-2023-007285,,expedited freight
T008516,2023-01-12,2023-01-12,MI-NL,ENG-EU,6210,507.22,EUR,V1002,INV-2023-008516,,"airfare Boston, economy"
T008542,2023-01-12,2023-01-10,MI-NL,ENG-EU,6330,2855.46,EUR,V1035,INV-2023-008542,,planned maintenance
T009642,2023-01-12,2023-01-11,MI-NL,SGA-EU,6230,968.35,EUR,V1002,INV-2023-009642,,client entertainment Amsterdam
T009657,2023-01-12,2023-01-09,MI-NL,SGA-EU,6310,27335.9,EUR,V1003,INV-2023-009657,,monthly rent
T000021,2023-01-13,2023-01-12,MI-US,OPS-NA,6120,6467.27,USD,,INV-2023-000021,,employer contributions - period 2023-01
T002372,2023-01-13,2023-01-11,MI-US,SGA-US,6230,2403.74,USD,V1002,INV-2023-002372,AP-2023-6389,client entertainment Cleveland
T002386,2023-01-13,2023-01-10,MI-US,SGA-US,6310,27285.56,USD,V1017,INV-2023-002386,,monthly rent
T002391,2023-01-13,2023-01-13,MI-US,SGA-US,6410,3161.86,USD,V1005,INV-2023-002391,,tax compliance
T003634,2023-01-13,2023-01-12,MI-US,MKT-US,6110,19611.48,USD,,INV-2023-003634,,payroll run - period 2023-01
T003646,2023-01-13,2023-01-13,MI-US,MKT-US,6710,14786.13,USD,V1024,INV-2023-003646,,digital advertising - 2023-01
T004737,2023-01-13,2023-01-11,MI-CA,OPS-CA,6620,20035.88,CAD,V1021,INV-2023-004737,,outbound freight - 2023-01
T005959,2023-01-13,2023-01-11,MI-CA,SGA-CA,6120,20026.32,CAD,,INV-2023-005959,,employer contributions - period 2023-01
T005972,2023-01-13,2023-01-11,MI-CA,SGA-CA,6410,1711.76,CAD,V1005,INV-2023-005972,,tax compliance
T008514,2023-01-13,2023-01-10,MI-NL,ENG-EU,6210,278.9,EUR,V1002,INV-2023-008514,,"airfare Milwaukee, economy"
T009635,2023-01-13,2023-01-10,MI-NL,SGA-EU,6220,622.87,EUR,V1002,INV-2023-009635,,"hotel - 5 nights, Cleveland"
T009650,2023-01-13,2023-01-10,MI-NL,SGA-EU,6240,217.22,EUR,V1036,INV-2023-009650,,ground transport London
T009677,2023-01-13,2023-01-11,MI-NL,SGA-EU,6530,8366.22,EUR,V1007,INV-2023-009677,,cloud hosting - 2023-01
T001241,2023-01-14,2023-01-13,MI-US,ENG-US,6210,794.88,USD,V1036,INV-2023-001241,,"airfare Winnipeg, economy"
T001275,2023-01-14,2023-01-08,MI-US,ENG-US,6430,7918.86,USD,V1251,INV-2023-001275,,consulting - 2023-01
T004715,2023-01-14,2023-01-11,MI-CA,OPS-CA,6130,6556.22,CAD,V1006,INV-2023-004715,,contract engineer - 2023-01
T004726,2023-01-14,2023-01-11,MI-CA,OPS-CA,6430,2523.51,CAD,V1026,INV-2023-004726,,consulting - 2023-01
T004729,2023-01-14,2023-01-13,MI-CA,OPS-CA,6520,2119.53,CAD,V1028,INV-2023-004729,,laptops and peripherals
T004742,2023-01-14,2023-01-13,MI-CA,OPS-CA,6630,5102.49,CAD,V1021,INV-2023-004742,,expedited freight
T005962,2023-01-14,2023-01-14,MI-CA,SGA-CA,6130,1606.37,CAD,V1012,INV-2023-005962,,temporary operations cover
T005963,2023-01-14,2023-01-12,MI-CA,SGA-CA,6130,4325.02,CAD,V1010,INV-2023-005963,,temporary operations cover
T008517,2023-01-14,2023-01-12,MI-NL,ENG-EU,6210,367.0,EUR,V1036,INV-2023-008517,,"airfare Hartford, economy"
T008536,2023-01-14,2023-01-12,MI-NL,ENG-EU,6130,10308.96,EUR,V1010,INV-2023-008536,,contract engineer - 2023-01
T009638,2023-01-14,2023-01-13,MI-NL,SGA-EU,6220,254.3,EUR,V1025,INV-2023-009638,,"hotel - 2 nights, Hartford"
T009664,2023-01-14,2023-01-12,MI-NL,SGA-EU,6410,4371.88,EUR,V1005,INV-2023-009664,,tax compliance
T001279,2023-01-15,2023-01-12,MI-US,ENG-US,6520,4396.71,USD,V1004,INV-2023-001279,,laptops and peripherals
T003628,2023-01-15,2023-01-14,MI-US,MKT-US,6230,285.14,USD,V1037,INV-2023-003628,,team meals Leuven
T004697,2023-01-15,2023-01-14,MI-CA,OPS-CA,6210,637.47,CAD,V1002,INV-2023-004697,,"airfare Zurich, economy"
T004703,2023-01-15,2023-01-14,MI-CA,OPS-CA,6230,1634.45,CAD,V1037,INV-2023-004703,AP-2023-3080,client entertainment Amsterdam
T007246,2023-01-15,2023-01-15,MI-NL,OPS-EU,6240,293.04,EUR,V1036,INV-2023-007246,,ground transport Winnipeg
T007270,2023-01-15,2023-01-15,MI-NL,OPS-EU,6510,6135.39,EUR,V1007,INV-2023-007270,,seat licences - 2023-01
T008519,2023-01-15,2023-01-14,MI-NL,ENG-EU,6220,582.62,EUR,V1025,INV-2023-008519,,"hotel - 4 nights, Cleveland"
T008531,2023-01-15,2023-01-13,MI-NL,ENG-EU,6110,34172.01,EUR,,INV-2023-008531,,payroll run - period 2023-01
T008544,2023-01-15,2023-01-12,MI-NL,ENG-EU,6430,15805.35,EUR,V1203,INV-2023-008544,,consulting - 2023-01
T008548,2023-01-15,2023-01-12,MI-NL,ENG-EU,6520,3288.34,EUR,V1004,INV-2023-008548,,test equipment
T009652,2023-01-15,2023-01-13,MI-NL,SGA-EU,6110,57803.06,EUR,,INV-2023-009652,,payroll run - period 2023-01
T009674,2023-01-15,2023-01-15,MI-NL,SGA-EU,6510,7215.13,EUR,V1007,INV-2023-009674,,seat licences - 2023-01
T000039,2023-01-16,2023-01-16,MI-US,OPS-NA,6520,7940.86,USD,V1028,INV-2023-000039,,test equipment
T001250,2023-01-16,2023-01-15,MI-US,ENG-US,6230,1073.3,USD,V1037,INV-2023-001250,AP-2023-8930,client entertainment Milwaukee
